cell	keep	rename_to
orig.ident	no	na
nCount_RNA	yes	UMI Count
nFeature_RNA	yes	Gene Count
percent.mito	yes	Mitochondrial UMI%
log10GenesPerUMI	yes	log10GenesPerUMI
ID	no	na
SAMPLE	no	na
FASTQ	no	na
SJUID	no	na
SJID	no	na
cancer_type	no	na
Subject_Disease_Code	no	na
Subject_Disease_Subtype_Code	no	na
tissue_type	yes	Model
assay_technology_updated	yes	Seq Tech
assay_technology	no	na
historic_data	no	na
RPMI	yes	RPMI
genome_reference_updated_code	no	na
genome_reference_updated	no	na
genome_reference	no	na
FASTQ_old	no	na
DYExxxx	no	na
DYE_Melody_unsure	no	na
DYExxxx_corrected	no	na
SRM_updated	no	na
SRM	no	na
SRM_Sample_ID_updated	no	na
SRM_Sample_ID	no	na
Experimental_Sample	no	na
sample_3D	no	na
sample_2D.NOT.NEEDED.2025.04.10	no	na
Tissue_Bank_ID	no	na
Xenograft_CompBio_ID	no	na
CSTN_MAST_ID	no	na
Date	no	na
SRM_Submission_Information	no	na
Compbioname_for_publications	yes	SJID
Comp_Bio_Sample_Name	no	na
Comp_Bio_Subject_ID	no	na
Preferred_Sample_ID	no	na
Sample_Type_Code	no	na
Prior_Comp_Bio_ID	no	na
PATH	no	na
NOTES	no	na
match_SJID_RPMI	no	na
ID_with_sample_swap	no	na
SAMPLE_with_sample_swap	no	na
FASTQ_with_sample_swap	no	na
S.Score	yes	S.Score
G2M.Score	yes	G2M.Score
Phase	yes	Phase
UMAP_1	no	na
UMAP_2	no	na
PC_1	no	na
PC_2	no	na
PC_3	no	na
PC_4	no	na
PC_5	no	na
PC_6	no	na
PC_7	no	na
PC_8	no	na
PC_9	no	na
PC_10	no	na
PC_11	no	na
PC_12	no	na
PC_13	no	na
PC_14	no	na
PC_15	no	na
PC_16	no	na
PC_17	no	na
PC_18	no	na
PC_19	no	na
PC_20	no	na
PC_21	no	na
PC_22	no	na
PC_23	no	na
PC_24	no	na
PC_25	no	na
PC_26	no	na
PC_27	no	na
PC_28	no	na
PC_29	no	na
PC_30	no	na
Cluster Res 0	yes	Cluster Res 0
seurat_clusters	no	na
Cluster Res 0.1	yes	Cluster Res 0.1
Cluster Res 0.2	yes	Cluster Res 0.2
Cluster Res 0.3	yes	Cluster Res 0.3
Cluster Res 0.4	yes	Cluster Res 0.4
Cluster Res 0.5	yes	Cluster Res 0.5
Cluster Res 0.6	yes	Cluster Res 0.6
Cluster Res 0.7	yes	Cluster Res 0.7
Cluster Res 0.8	yes	Cluster Res 0.8
